,Size_Index,BM_Ratio_Index,Momentum_Index,Monthly Return,ESG_High_Return,Abnormal Return,Month
0,1,1.0,1.0,20.13076923076923,14.680000000000001,-5.450769230769227,May
1,1,1.0,2.0,6.880000000000001,3.1000000000000005,-3.7800000000000002,May
2,1,1.0,3.0,1.6000000000000003,-11.166666666666666,-12.766666666666666,May
3,1,1.0,4.0,12.663636363636364,13.049999999999999,0.3863636363636349,May
4,1,1.0,5.0,6.958333333333335,5.1000000000000005,-1.8583333333333343,May
5,1,2.0,1.0,13.1,14.200000000000001,1.1000000000000014,May
6,1,2.0,2.0,4.954545454545454,-2.5,-7.454545454545454,May
7,1,2.0,3.0,5.7636363636363654,-12.15,-17.913636363636364,May
8,1,2.0,4.0,14.890909090909092,33.35,18.45909090909091,May
9,1,2.0,5.0,10.033333333333333,-0.09999999999999992,-10.133333333333333,May
10,1,3.0,1.0,14.408333333333337,32.666666666666664,18.258333333333326,May
11,1,3.0,2.0,11.60909090909091,1.1,-10.50909090909091,May
12,1,3.0,3.0,5.736363636363635,0.7999999999999998,-4.936363636363636,May
13,1,3.0,4.0,7.2272727272727275,23.233333333333334,16.006060606060608,May
14,1,3.0,5.0,11.058333333333332,7.0,-4.058333333333332,May
15,1,4.0,1.0,10.899999999999999,,,May
16,1,4.0,2.0,-0.8818181818181817,-0.5000000000000009,0.38181818181818084,May
17,1,4.0,3.0,9.936363636363636,,,May
18,1,4.0,4.0,10.718181818181819,21.833333333333332,11.115151515151513,May
19,1,4.0,5.0,7.8500000000000005,3.85,-4.0,May
20,1,5.0,1.0,18.53333333333333,13.8,-4.733333333333331,May
21,1,5.0,2.0,5.218181818181819,,,May
22,1,5.0,3.0,0.7818181818181824,8.4,7.618181818181818,May
23,1,5.0,4.0,3.872727272727272,-1.8,-5.672727272727272,May
24,1,5.0,5.0,14.416666666666664,18.25,3.8333333333333357,May
25,2,1.0,1.0,21.425,54.9,33.474999999999994,May
26,2,1.0,2.0,18.474999999999998,9.0,-9.474999999999998,May
27,2,1.0,3.0,8.563636363636363,8.580000000000002,0.016363636363639245,May
28,2,1.0,4.0,18.75,3.733333333333334,-15.016666666666666,May
29,2,1.0,5.0,11.191666666666668,10.4,-0.7916666666666679,May
30,2,2.0,1.0,15.508333333333333,10.875,-4.633333333333333,May
31,2,2.0,2.0,6.2,1.9,-4.300000000000001,May
32,2,2.0,3.0,17.090909090909093,22.9,5.809090909090905,May
33,2,2.0,4.0,11.836363636363638,10.9,-0.9363636363636374,May
34,2,2.0,5.0,9.981818181818182,8.833333333333334,-1.1484848484848484,May
35,2,3.0,1.0,15.558333333333335,10.45,-5.108333333333336,May
36,2,3.0,2.0,9.718181818181819,8.733333333333333,-0.9848484848484862,May
37,2,3.0,3.0,10.818181818181818,15.666666666666666,4.848484848484848,May
38,2,3.0,4.0,4.027272727272727,4.9,0.872727272727273,May
39,2,3.0,5.0,10.299999999999999,5.8,-4.499999999999999,May
40,2,4.0,1.0,9.333333333333334,21.15,11.816666666666665,May
41,2,4.0,2.0,0.15454545454545465,-9.0,-9.154545454545454,May
42,2,4.0,3.0,4.581818181818181,14.999999999999998,10.418181818181818,May
43,2,4.0,4.0,8.536363636363637,26.9,18.36363636363636,May
44,2,4.0,5.0,6.6000000000000005,2.5250000000000004,-4.075,May
45,2,5.0,1.0,8.623076923076923,-0.4,-9.023076923076923,May
46,2,5.0,2.0,-1.0499999999999996,-4.9,-3.8500000000000005,May
47,2,5.0,3.0,8.663636363636364,4.9,-3.7636363636363637,May
