,Size_Index,Momentum_Index,BM_Ratio_Index,Monthly Return,ESG_High_Return,Abnormal Return,Month
0,1,1,1,-33.74545454545455,-30.916666666666668,2.8287878787878817,Mar
1,1,1,2,-32.74999999999999,-32.03333333333334,0.7166666666666544,Mar
2,1,1,3,-17.6625,-14.260000000000002,3.4025,Mar
3,1,1,4,-20.810526315789474,-34.5,-13.689473684210526,Mar
4,1,1,5,-20.771111111111114,3.5833333333333344,24.35444444444445,Mar
5,1,2,1,-36.72,-34.5,2.219999999999999,Mar
6,1,2,2,-34.56,-32.45,2.1099999999999994,Mar
7,1,2,3,-15.121052631578948,1.0750000000000002,16.196052631578947,Mar
8,1,2,4,-15.899999999999999,-7.766666666666667,8.133333333333333,Mar
9,1,2,5,-30.691999999999993,-38.5,-7.808000000000007,Mar
10,1,3,1,-34.05,-56.5,-22.450000000000003,Mar
11,1,3,2,-29.599999999999998,,,Mar
12,1,3,3,-14.6,-0.4,14.2,Mar
13,1,3,4,-19.430769230769226,,,Mar
14,1,3,5,-29.172222222222217,-16.8,12.372222222222216,Mar
15,1,4,1,-18.98,0.75,19.73,Mar
16,1,4,2,-37.44,-6.2,31.24,Mar
17,1,4,3,-13.377777777777778,-21.68,-8.302222222222222,Mar
18,1,4,4,-22.649999999999995,,,Mar
19,1,4,5,-31.65555555555555,-44.0,-12.344444444444449,Mar
20,1,5,1,-23.46666666666667,,,Mar
21,1,5,2,-20.979999999999997,,,Mar
22,1,5,3,-22.45,,,Mar
23,1,5,4,-27.766666666666666,-22.3,5.466666666666665,Mar
24,1,5,5,-36.260000000000005,,,Mar
25,2,1,1,-27.975000000000005,-31.75,-3.774999999999995,Mar
26,2,1,2,-17.355555555555554,-25.400000000000002,-8.044444444444448,Mar
27,2,1,3,-17.96470588235294,-18.880000000000003,-0.9152941176470613,Mar
28,2,1,4,-28.107692307692307,-26.549999999999997,1.5576923076923102,Mar
29,2,1,5,-34.33888888888888,-26.366666666666664,7.972222222222218,Mar
30,2,2,1,-41.028571428571425,-60.55,-19.521428571428572,Mar
31,2,2,2,-27.699999999999996,-24.4,3.299999999999997,Mar
32,2,2,3,-15.700000000000001,-24.1,-8.4,Mar
33,2,2,4,-18.12777777777778,-16.133333333333333,1.9944444444444471,Mar
34,2,2,5,-25.59130434782609,-19.6,5.9913043478260875,Mar
35,2,3,1,-20.7,-19.5,1.1999999999999993,Mar
36,2,3,2,-15.5,-27.5,-12.0,Mar
37,2,3,3,-18.7,-20.3,-1.6000000000000014,Mar
38,2,3,4,-15.343749999999998,-4.55,10.79375,Mar
39,2,3,5,-29.93846153846153,-22.5,7.438461538461532,Mar
40,2,4,1,-30.366666666666664,-36.7,-6.333333333333339,Mar
41,2,4,2,-17.637500000000003,-20.166666666666668,-2.529166666666665,Mar
42,2,4,3,-26.025000000000002,-35.7,-9.675,Mar
43,2,4,4,-15.52857142857143,-6.475000000000001,9.053571428571429,Mar
44,2,4,5,-22.9625,,,Mar
45,2,5,1,-26.95714285714286,-34.8,-7.842857142857138,Mar
46,2,5,2,-30.488888888888887,-16.5,13.988888888888887,Mar
47,2,5,3,-9.600000000000001,,,Mar
48,2,5,4,-23.057142857142857,-24.225,-1.1678571428571445,Mar
49,2,5,5,-38.550000000000004,,,Mar
50,3,1,1,-29.52,-37.06666666666667,-7.54666666666667,Mar
51,3,1,2,-30.114285714285717,,,Mar
52,3,1,3,-25.5,-42.0,-16.5,Mar
53,3,1,4,-26.799999999999997,-45.3,-18.5,Mar
54,3,1,5,-46.4625,-72.4,-25.937500000000007,Mar
55,3,2,1,-30.72307692307692,-15.700000000000001,15.02307692307692,Mar
56,3,2,2,-17.96,-18.0,-0.03999999999999915,Mar
57,3,2,3,-20.630769230769225,-27.514285714285716,-6.883516483516491,Mar
58,3,2,4,-19.626666666666665,-10.65,8.976666666666665,Mar
59,3,2,5,-28.599999999999998,-21.2,7.399999999999999,Mar
60,3,3,1,-26.890909090909087,-20.85,6.040909090909086,Mar
61,3,3,2,-27.153846153846153,-29.525000000000002,-2.371153846153849,Mar
62,3,3,3,-12.284210526315789,-11.885714285714286,0.3984962406015029,Mar
63,3,3,4,-19.674999999999997,-11.066666666666668,8.608333333333329,Mar
64,3,3,5,-23.6,-12.5,11.100000000000001,Mar
65,3,4,1,-27.2625,,,Mar
66,3,4,2,-9.24,14.15,23.39,Mar
67,3,4,3,-14.740000000000002,-19.825,-5.084999999999997,Mar
68,3,4,4,-18.716666666666665,-9.299999999999999,9.416666666666666,Mar
69,3,4,5,-39.3,,,Mar
70,3,5,1,-33.654545454545456,-28.399999999999995,5.254545454545461,Mar
71,3,5,2,-16.16111111111111,-18.15714285714286,-1.996031746031747,Mar
72,3,5,3,-10.26842105263158,-12.766666666666666,-2.4982456140350866,Mar
73,3,5,4,-10.933333333333332,-18.6,-7.66666666666667,Mar
74,3,5,5,-32.35,-27.2,5.150000000000002,Mar
75,4,1,1,-30.38571428571429,-32.75,-2.3642857142857103,Mar
76,4,1,2,-34.2,-25.1,9.100000000000001,Mar
77,4,1,3,-26.0,-27.400000000000002,-1.4000000000000021,Mar
78,4,1,4,-40.15,-30.8,9.349999999999998,Mar
79,4,1,5,-46.781818181818174,-33.766666666666666,13.015151515151508,Mar
80,4,2,1,-25.766666666666666,-18.8,6.966666666666665,Mar
81,4,2,2,-20.300000000000004,-13.433333333333332,6.8666666666666725,Mar
82,4,2,3,-18.208333333333332,-5.2,13.008333333333333,Mar
83,4,2,4,-29.172727272727272,-15.6,13.572727272727272,Mar
84,4,2,5,-30.342857142857145,-27.225,3.1178571428571438,Mar
85,4,3,1,-21.02941176470588,-21.271428571428572,-0.24201680672269177,Mar
86,4,3,2,-9.015384615384615,-7.0625,1.9528846153846153,Mar
87,4,3,3,-19.725000000000005,-12.14,7.585000000000004,Mar
88,4,3,4,-24.6,-21.674999999999997,2.9250000000000043,Mar
89,4,3,5,-33.025,-34.25,-1.2250000000000014,Mar
90,4,4,1,-17.67142857142857,-23.7,-6.0285714285714285,Mar
91,4,4,2,-11.627777777777778,-14.36,-2.732222222222221,Mar
92,4,4,3,-18.7,-29.766666666666666,-11.066666666666666,Mar
93,4,4,4,-14.454545454545455,-13.819999999999999,0.6345454545454565,Mar
94,4,4,5,-23.98333333333333,,,Mar
95,4,5,1,-13.74761904761905,-11.5,2.2476190476190503,Mar
96,4,5,2,-18.091666666666665,-17.464285714285715,0.6273809523809497,Mar
97,4,5,3,-7.199999999999999,-4.0600000000000005,3.139999999999999,Mar
98,4,5,4,-19.175,-9.525,9.65,Mar
99,4,5,5,-14.549999999999999,,,Mar
100,5,1,1,-18.7,-14.5,4.199999999999999,Mar
101,5,1,2,-37.4,,,Mar
102,5,1,3,-14.05,,,Mar
103,5,1,4,-31.166666666666668,-25.15,6.016666666666669,Mar
104,5,1,5,-44.2,,,Mar
105,5,2,1,-5.775,,,Mar
106,5,2,2,-7.099999999999999,-7.666666666666667,-0.5666666666666682,Mar
107,5,2,3,-16.125,-23.7,-7.574999999999999,Mar
108,5,2,4,-25.322222222222226,-13.55,11.772222222222226,Mar
109,5,2,5,-27.971428571428568,-30.9,-2.9285714285714306,Mar
110,5,3,1,-15.972727272727274,-15.733333333333334,0.23939393939394016,Mar
111,5,3,2,-14.310526315789476,-12.585714285714287,1.7248120300751886,Mar
112,5,3,3,-13.15,-12.385714285714284,0.764285714285716,Mar
113,5,3,4,-25.190000000000005,-16.066666666666666,9.123333333333338,Mar
114,5,3,5,-19.84444444444445,-9.649999999999999,10.19444444444445,Mar
115,5,4,1,-11.585294117647058,-9.873684210526319,1.7116099071207387,Mar
116,5,4,2,-11.253571428571432,-11.631250000000003,-0.37767857142857153,Mar
117,5,4,3,-11.7125,-15.6,-3.8874999999999993,Mar
118,5,4,4,-17.868421052631582,-17.555555555555557,0.3128654970760252,Mar
119,5,4,5,-26.52,-24.5,2.0199999999999996,Mar
120,5,5,1,-14.339130434782609,-11.649999999999999,2.6891304347826104,Mar
121,5,5,2,-8.85277777777778,-8.339130434782609,0.5136473429951707,Mar
122,5,5,3,-9.216666666666667,-10.862499999999999,-1.6458333333333321,Mar
123,5,5,4,-14.599999999999998,-11.0,3.599999999999998,Mar
124,5,5,5,-18.3,1.8,20.1,Mar
