,iso_code,new_cases
2020/9/7,USA,30555
2020/9/8,USA,24250
2020/9/9,USA,27122
2020/9/10,USA,31927
2020/9/11,USA,37507
2020/9/12,USA,48061
2020/9/13,USA,40820
2020/9/14,USA,33871
2020/9/15,USA,34841
2020/9/16,USA,51473
2020/9/17,USA,24598
2020/9/18,USA,43567
2020/9/19,USA,50209
2020/9/20,USA,40295
2020/9/21,USA,39852
2020/9/22,USA,53153
2020/9/23,USA,38307
2020/9/24,USA,37930
2020/9/25,USA,44213
2020/9/26,USA,55013
2020/9/27,USA,45368
2020/9/28,USA,36248
2020/9/29,USA,32998
2020/9/30,USA,43017
